accelerometer_X,accelerometer_Y,accelerometer_Z,name_id,file_id
-3.677494,-6.890511999999999,-1.7860740000000002,4,12
-0.545878,-10.237606,-2.126051,4,12
-6.675033999999999,-11.420342,31.636982,4,12
-2.418144,-14.178462,-2.987964,4,12
-9.605537,-5.688623000000001,-5.099648999999999,4,12
-2.944868,-12.564771,-2.169147,4,12
-19.49359,-14.154520000000002,-12.832921,4,12
-3.907337,-7.139508999999999,-2.236184,4,12
-0.632069,-4.692635,0.976834,4,12
-5.468356,-9.093178,0.7182609999999999,4,12
-9.423578,-13.239935999999998,-8.911219000000001,4,13
2.245761,-12.689269,-2.504335,4,13
-1.733402,-1.3982139999999998,2.442086,4,13
0.349553,-7.958326,-1.015141,4,13
-0.421379,-10.97502,0.545878,4,13
-4.055777,-18.464083,1.953669,4,13
1.106121,-13.872005,-3.921702,4,13
-8.058882,8.834603999999999,-20.499157,4,13
-3.29921,-14.762648,-2.494758,4,13
-12.641385,-16.026787,-18.248606,4,13
-2.901772,-7.144297999999999,1.063026,4,13
-1.5466540000000002,-4.046201,2.571373,4,13
-5.329493,-7.580042,1.776498,4,13
-9.595961,-15.279796,-0.272939,4,13
-7.991845,-13.43626,13.254301000000002,4,13
-9.332599,-12.397177,4.395755,4,13
-6.952761,-11.918336,-5.731719,4,13
2.111686,-13.761871,-0.919373,4,13
-1.345541,-0.895431,3.591303,4,13
0.435745,-10.548853,-1.403002,4,13
-7.125144000000001,-13.737929,-2.557007,4,13
-1.623269,8.140286,9.835381,4,13
-5.12838,-11.951855,-1.953669,4,13
-9.811439,-22.132,-13.053187,4,13
